Mood,Language,Song Title,Artist(s),Spotify Link
Happy,Hindi,Tune Maari Entriyaan,"KK, Vishal Dadlani",https://open.spotify.com/track/5kg1GacbhgQfLcbgOBRO9c
Happy,Hindi,Udd Gaye,Ritviz,https://open.spotify.com/track/5ZsAhuQ24mWHiduaxJqnhW
Happy,Hindi,Tamma Tamma Again,"Bappi Lahiri, Anuradha Paudwal",https://open.spotify.com/track/3F1WUlsPNWWnUWmLVp8kSe
Happy,Hindi,Cutiepie,Pritam,https://open.spotify.com/track/7hXnhouVPnOnFwCGrQMHvB?si=38d3dc78ef8a4045
Happy,Hindi,The Humma Song,"Jubin Nautiyal, Tanishk Bagchi",https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd?si=a0b0de6e8e8f4eb0
Happy,Hindi,Bom Diggy Diggy,"Zack Knight, Jasmin Walia",https://open.spotify.com/track/6qCNaRRr5xJALfNJvh0NAw?si=888e433fc7954585
Happy,Hindi,Dil Dhadakne Do,Shankar Mahadevan,https://open.spotify.com/track/46elU7IBKWf55D5sjHGqO7?si=c99fa00ca6024b32
Happy,Hindi,Saturday Saturday,"Indeep Bakshi, Akriti Kakkar",https://open.spotify.com/track/7MvQQGqYE4r0ucTarmI2Gr?si=d5a3e8e24d2046f0
Happy,Hindi,Zingaat,Ajay-Atul,https://open.spotify.com/track/3TysRQuZRfhXZ6P8T09YdO?si=61c54142a9284112
Happy,Hindi,Lungi Dance,Yo Yo Honey Singh,https://open.spotify.com/track/3VXh3jYTW3lTxtXRnu2TKP?si=607009546f1d4768
Happy,Hindi,Garmi,"Neha Kakkar, Badshah",https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF?si=f9afda9b57454465
Happy,Hindi,Tera Hone Laga Hoon,Atif Aslam,https://open.spotify.com/track/0dLbrlAVPPjpPqnYfmJsWk?si=b742016a0da84ce0
Happy,Hindi,Chogada,Darshan Raval,https://open.spotify.com/track/4ymPEyiXabTe1NO8q8EFxG?si=d50260f4b6804481
Sad,English,Someone Like You,Adele,https://open.spotify.com/track/3bNv3VuUOKgrf5hu3YcuRo?si=9d9128e910534e00
Sad,English,Fix You,Coldplay,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q?si=7c8b939e9e0c4610
Sad,English,Let Her Go,Passenger,https://open.spotify.com/track/2pUpNOgJBIBCcjyQZQ00qU?si=94cfb919a58f4750
Sad,English,When I Was Your Man,Bruno Mars,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh?si=76d13c5cada34839
Sad,English,Skinny Love,Birdy,https://open.spotify.com/track/4RL77hMWUq35NYnPLXBpih?si=53eca8fa60264b51
Sad,English,Back to December,Taylor Swift,https://open.spotify.com/track/5l6GqSxplqnZbLg0LTPQeG?si=5d30b5aa26304fa3
Sad,English,Say You Won't Let Go,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh?si=6c6178fded85490c
Sad,English,The Scientist,Coldplay,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle?si=858101d9d1034c51
Sad,English,All I Want,Kodaline,https://open.spotify.com/track/0NlGoUyOJSuSHmngoibVAs?si=7b8901aac0fa4373
Sad,English,Jealous,Labrinth,https://open.spotify.com/track/4G92yYrUs0cvY7G41YRI0z?si=0a58c60c542443da
Sad,English,Stay With Me,Sam Smith,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt?si=7d6758c7cf7b4b70
Sad,English,Hello,Adele,https://open.spotify.com/track/1Yk0cQdMLx5RzzFTYwmuld?si=6c43659100514191
Sad,English,Too Good at Goodbyes,Sam Smith,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV?si=1db0b489da874edd
Sad,English,Happier,Ed Sheeran,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB?si=4c50f302d2994aca
Sad,English,Dancing On My Own,Calum Scott,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ?si=888181a4daa2479c
Sad,English,I Will Always Love You,Whitney Houston,https://open.spotify.com/track/4eHbdreAnSOrDDsFfc4Fpm?si=60ee84b58e954ae7
Sad,English,Un-break My Heart,Toni Braxton,https://open.spotify.com/track/5Ihd9HrPvOADyVoonH9ZjB?si=7dfd32e6dfd8491c
Sad,English,Because of You,Kelly Clarkson,https://open.spotify.com/track/0gJvqi9QyASOCtJu99tytc?si=9e0c8bc180594a87
